# Proj2026 Q3 benchmark  Feller: 20*kappa*theta > sigma^2
# Exact (BK) dt=0.001 n_steps=1000 | Euler dt=0.001 n=1000 | almost fine dt=0.001 n=1000 | almost coarse dt=0.0333333 n=30
# paths=262144 rho=-0.7  err_* = mean_* - mean_exact (MC reference)
id,kappa,theta,sigma,feller_gap,ms_exact,ms_euler,ms_almost_dt1000,ms_almost_dt1_30,mean_exact,mean_euler,mean_almost_1000,mean_almost_30,err_euler,err_almost_1000,err_almost_30
40,1.51429,0.01,0.228571,0.250612,661.883,3.92426,656.738,13.1645,0.085258499,0.090954676,0.087570034,0.087979928,0.0056961775,0.0023115352,0.0027214289
41,1.51429,0.01,0.357143,0.175306,538.196,3.76086,543.504,9.04403,0.08486136,0.088343099,0.087205611,0.08574529,0.0034817383,0.0023442507,0.00088392943
42,1.51429,0.01,0.485714,0.0669388,530.082,3.88682,534.864,11.4414,0.082189888,0.084986143,0.083045751,0.082078822,0.0027962551,0.00085586309,-0.0001110658
43,1.51429,0.08,0.1,2.41286,147.656,4.30483,151.973,18.903,0.11825288,0.11902448,0.11837556,0.1162651,0.00077159703,0.00012268126,-0.0019877851
44,1.51429,0.08,0.228571,2.37061,693.33,3.59443,691.478,15.552,0.10946378,0.11686569,0.10973315,0.11630111,0.0074019134,0.00026936829,0.0068373308
45,1.51429,0.08,0.357143,2.29531,564.151,3.59702,569.475,9.60979,0.10783383,0.11356769,0.11082465,0.11221059,0.0057338625,0.002990827,0.0043767616
46,1.51429,0.08,0.485714,2.18694,536.13,3.60307,537.909,4.59725,0.10934048,0.11160589,0.10907263,0.11001846,0.0022654086,-0.00026785582,0.00067798048
47,1.51429,0.08,0.614286,2.04551,530.344,3.69219,536.231,10.9693,0.10734033,0.10769937,0.10671624,0.10655525,0.00035904348,-0.00062409043,-0.00078508258
48,1.51429,0.08,0.742857,1.87102,535.865,3.78771,540.58,12.327,0.10305334,0.10401481,0.10397153,0.10275836,0.00096146762,0.00091819465,-0.00029498339
49,1.51429,0.08,0.871429,1.66347,533,3.94381,541.681,12.8598,0.099701047,0.10129408,0.10027069,0.09946537,0.001593031,0.00056964159,-0.00023567677
50,1.51429,0.08,1,1.42286,523.598,4.12381,531.81,13.151,0.096673682,0.099432856,0.095954239,0.095965847,0.0027591735,-0.00071944296,-0.00070783496
51,1.51429,0.15,0.1,4.53286,150.575,4.42778,153.716,19.0423,0.13900489,0.13917887,0.13962959,0.14142977,0.00017398596,0.00062470138,0.0024248809
52,1.51429,0.15,0.228571,4.49061,616.042,3.60333,616.2,15.9588,0.13477162,0.13745581,0.13189369,0.13646165,0.0026841909,-0.0028779209,0.0016900301
53,1.51429,0.15,0.357143,4.41531,617.527,3.60275,623.411,11.9114,0.12361467,0.13525307,0.12921681,0.13492112,0.011638403,0.0056021363,0.01130645
54,1.51429,0.15,0.485714,4.30694,550.467,3.59981,550.878,6.68467,0.12741686,0.1328914,0.12973423,0.13202335,0.0054745376,0.002317369,0.0046064854
55,1.51429,0.15,0.614286,4.16551,539.358,3.63155,537.014,3.89626,0.12652344,0.1292661,0.12551282,0.12859866,0.002742663,-0.0010106117,0.0020752251
56,1.51429,0.15,0.742857,3.99102,535.398,3.66854,544.837,11.005,0.12666185,0.12618837,0.12543936,0.12455015,-0.0004734844,-0.0012224913,-0.0021117032
57,1.51429,0.15,0.871429,3.78347,538.54,3.76384,543.22,12.5075,0.12329841,0.12253907,0.12135649,0.12212532,-0.00075933337,-0.0019419193,-0.0011730865
58,1.51429,0.15,1,3.54286,541.182,3.95734,549.991,13.0045,0.11993251,0.12028876,0.11855315,0.11865886,0.00035624951,-0.0013793632,-0.001273647
59,1.51429,0.22,0.1,6.65286,153.15,4.36838,158.372,19.2353,0.15718436,0.15651074,0.15798232,0.16709989,-0.00067362189,0.00079795718,0.0099155307
60,1.51429,0.22,0.228571,6.61061,473.972,3.63808,476.971,16.2464,0.1533197,0.15494812,0.15276244,0.16008219,0.0016284138,-0.00055725873,0.0067624897
61,1.51429,0.22,0.357143,6.53531,655.114,3.60797,660.621,13.4779,0.13916865,0.15315992,0.14419132,0.15397462,0.013991266,0.0050226748,0.014805973
62,1.51429,0.22,0.485714,6.42694,569.166,3.61325,573.11,8.48109,0.15092933,0.15073277,0.14675081,0.14992417,-0.00019656122,-0.004178524,-0.0010051578
63,1.51429,0.22,0.614286,6.28551,545.341,3.61677,547.317,5.0217,0.14423682,0.14723612,0.14515159,0.14741719,0.0029993057,0.00091476738,0.0031803697
64,1.51429,0.22,0.742857,6.11102,538.855,3.65091,545.726,3.96301,0.14235881,0.14450058,0.14203481,0.14408188,0.0021417737,-0.00032399595,0.001723066
65,1.51429,0.22,0.871429,5.90347,543.944,3.67011,547.555,11.3173,0.14229353,0.1411363,0.14112456,0.14130484,-0.0011572242,-0.0011689663,-0.00098869205
66,1.51429,0.22,1,5.66286,545.335,3.77443,551.888,12.6155,0.13647234,0.13867362,0.13563618,0.13738841,0.002201274,-0.00083616376,0.00091606379
67,1.51429,0.29,0.1,8.77286,157.04,4.54627,161.084,20.2322,0.17312562,0.1722607,0.17245953,0.18740527,-0.000864923,-0.00066609681,0.014279649
68,1.51429,0.29,0.228571,8.73061,345.363,3.70074,349.937,16.5335,0.16962181,0.17122032,0.16885683,0.17521283,0.0015985072,-0.00076498091,0.00559102
69,1.51429,0.29,0.357143,8.65531,659.792,3.62102,668.252,14.2373,0.15368427,0.16858022,0.15815666,0.17018959,0.014895946,0.0044723898,0.016505316
70,1.51429,0.29,0.485714,8.54694,595.726,3.62963,594.91,9.85424,0.15499663,0.16644233,0.16066952,0.16833089,0.011445701,0.005672887,0.013334259
71,1.51429,0.29,0.614286,8.40551,555.794,3.6239,559.144,6.3304,0.15575308,0.16374654,0.16324168,0.16328862,0.0079934597,0.0074886084,0.007535547
72,1.51429,0.29,0.742857,8.23102,544.456,3.64531,552.258,4.06726,0.16074932,0.16076492,0.15861858,0.16029646,1.5601516e-05,-0.0021307319,-0.00045286119
73,1.51429,0.29,0.871429,8.02347,545.921,3.66426,554.43,4.17245,0.15404329,0.15769702,0.15858072,0.15812977,0.0036537349,0.0045374334,0.0040864795
74,1.51429,0.29,1,7.78286,549.534,3.74998,555.338,11.8348,0.15419425,0.1540616,0.15380757,0.15434468,-0.00013265014,-0.00038668513,0.00015042722
75,1.51429,0.36,0.1,10.8929,160.84,4.53632,165.299,20.3337,0.18567686,0.18800548,0.18811117,0.20728521,0.0023286194,0.0024343133,0.021608353
76,1.51429,0.36,0.228571,10.8506,301.285,3.92496,306.696,17.5079,0.18514183,0.18472278,0.18679336,0.18813749,-0.00041905046,0.0016515255,0.0029956549
77,1.51429,0.36,0.357143,10.7753,650.687,3.65405,655.486,14.8637,0.16809627,0.18361533,0.1743919,0.18829376,0.015519053,0.0062956214,0.020197481
78,1.51429,0.36,0.485714,10.6669,626.191,3.62925,629.924,11.033,0.16932917,0.1811467,0.17149302,0.18274055,0.01181753,0.0021638572,0.013411388
79,1.51429,0.36,0.614286,10.5255,564.222,3.65565,573.673,7.55773,0.17987043,0.17864574,0.17167836,0.18123554,-0.0012246817,-0.0081920624,0.0013651103
80,1.51429,0.36,0.742857,10.351,551.33,3.66202,558.969,4.98477,0.17714064,0.17454258,0.17342636,0.17709617,-0.0025980622,-0.0037142783,-4.4465065e-05
81,1.51429,0.36,0.871429,10.1435,558.258,3.66157,561.875,3.59334,0.17080112,0.17330773,0.17055224,0.17230178,0.0025066137,-0.00024887919,0.0015006661
82,1.51429,0.36,1,9.90286,556.517,3.69747,563.609,4.25984,0.16635564,0.16879921,0.16766712,0.16764468,0.0024435669,0.001311481,0.0012890399
83,1.51429,0.43,0.1,13.0129,164.726,4.43206,169.543,20.5502,0.19840446,0.19963272,0.19941072,0.22133249,0.001228258,0.0010062605,0.022928029
84,1.51429,0.43,0.228571,12.9706,283.79,4.0447,285.521,18.0348,0.19904099,0.19925055,0.19661561,0.20379606,0.00020955503,-0.0024253875,0.0047550648
85,1.51429,0.43,0.357143,12.8953,634.263,3.66528,640.462,15.2585,0.19072059,0.19575606,0.18866242,0.20357245,0.0050354749,-0.0020581633,0.012851864
86,1.51429,0.43,0.485714,12.7869,644.301,3.65942,654.878,12.1173,0.18991159,0.19458982,0.18534882,0.19771615,0.0046782345,-0.0045627654,0.0078045577
87,1.51429,0.43,0.614286,12.6455,582.461,3.68026,595.456,8.6999,0.19133332,0.19188049,0.18400332,0.19409673,0.00054717064,-0.0073300004,0.0027634054
88,1.51429,0.43,0.742857,12.471,561.529,3.69046,570.665,5.82701,0.18631797,0.18807536,0.18991116,0.19039768,0.0017573982,0.0035931915,0.0040797144
89,1.51429,0.43,0.871429,12.2635,561.778,3.75898,566.845,4.05587,0.18178223,0.18639734,0.18375239,0.18674408,0.0046151131,0.001970157,0.0049618483
90,1.51429,0.43,1,12.0229,562.677,3.73536,571.488,4.19517,0.17986396,0.18271801,0.18274792,0.18549114,0.0028540492,0.0028839558,0.0056271851
91,1.51429,0.5,0.1,15.1329,167.561,4.90022,171.991,20.8854,0.21264167,0.21165919,0.21237403,0.23850568,-0.00098247826,-0.00026763976,0.025864005
92,1.51429,0.5,0.228571,15.0906,275.524,4.17178,284.297,18.5484,0.20976719,0.21103019,0.21049859,0.22805497,0.0012629926,0.00073139369,0.018287778
93,1.51429,0.5,0.357143,15.0153,596.294,3.66586,604.894,15.5058,0.19894196,0.20776516,0.2007526,0.21345855,0.0088232011,0.0018106401,0.014516592
94,1.51429,0.5,0.485714,14.9069,665.749,3.67174,668.594,12.7018,0.19026725,0.20738061,0.19596979,0.21104439,0.017113358,0.0057025403,0.020777136
95,1.51429,0.5,0.614286,14.7655,609.345,3.66909,613.884,9.41878,0.20540372,0.20469142,0.20065713,0.20716438,-0.00071229041,-0.0047465861,0.0017606616
96,1.51429,0.5,0.742857,14.591,570.116,3.66832,572.404,6.65395,0.19186102,0.2008023,0.19903719,0.20387888,0.0089412779,0.0071761757,0.012017861
97,1.51429,0.5,0.871429,14.3835,562.177,3.66611,570.166,4.67629,0.19305895,0.19996673,0.1976721,0.20077686,0.006907776,0.0046131462,0.0077179074
98,1.51429,0.5,1,14.1429,563.053,3.72141,567.411,3.70688,0.19440474,0.1965332,0.19374946,0.19587864,0.002128467,-0.00065527856,0.0014739037
99,2.92857,0.01,0.1,0.575714,439.921,3.7665,442.812,16.5663,0.077729054,0.078177281,0.075867683,0.062827036,0.00044822693,-0.0018613711,-0.014902018
100,2.92857,0.01,0.228571,0.533469,590.115,3.68845,597.778,9.31482,0.076297514,0.07672184,0.073915727,0.069358662,0.00042432547,-0.0023817867,-0.0069388524
101,2.92857,0.01,0.357143,0.458163,565.328,3.81952,567.886,9.85085,0.072366521,0.074334823,0.074634463,0.070103288,0.0019683018,0.0022679418,-0.0022632331
102,2.92857,0.01,0.485714,0.349796,560.132,4.18848,569.045,11.6736,0.072138526,0.072477549,0.072122611,0.068198144,0.00033902377,-1.591444e-05,-0.0039403811
103,2.92857,0.01,0.614286,0.208367,542.075,4.31917,547.802,12.3013,0.068057694,0.070543014,0.068142869,0.066481203,0.00248532,8.5175037e-05,-0.0015764907
104,2.92857,0.01,0.742857,0.0338776,514.97,4.52035,525.655,12.8471,0.066958882,0.069157638,0.066718042,0.064205743,0.0021987557,-0.00024084002,-0.0027531385
105,2.92857,0.08,0.1,4.67571,159.912,4.7431,165.527,20.7995,0.11562821,0.11665948,0.116889,0.11224739,0.0010312721,0.0012607947,-0.0033808127
106,2.92857,0.08,0.228571,4.63347,708.001,3.65568,714.674,16.1552,0.11118489,0.11476313,0.10843883,0.11142607,0.0035782456,-0.002746053,0.00024118274
107,2.92857,0.08,0.357143,4.55816,549.028,3.64896,554.39,8.10566,0.10942613,0.1136418,0.11109847,0.11145598,0.0042156652,0.001672335,0.0020298436
108,2.92857,0.08,0.485714,4.4498,547.097,3.65773,551.397,3.99139,0.10780392,0.11173264,0.11068328,0.10993664,0.003928721,0.0028793663,0.0021327212
109,2.92857,0.08,0.614286,4.30837,551.967,3.66387,558.977,4.13373,0.10824561,0.1098584,0.1083089,0.10774056,0.0016127899,6.3285232e-05,-0.00050505251
110,2.92857,0.08,0.742857,4.13388,548.816,3.75606,555.29,11.6995,0.10621735,0.10705456,0.1064312,0.10531078,0.00083720684,0.00021384656,-0.00090657175
111,2.92857,0.08,0.871429,3.92633,552.46,3.9696,557.755,12.6976,0.10535607,0.10598897,0.10424084,0.10413836,0.00063290447,-0.0011152253,-0.001217708
112,2.92857,0.08,1,3.68571,551.062,4.09453,558.303,13.1024,0.10294694,0.10277364,0.10293058,0.10147416,-0.00017330796,-1.6361475e-05,-0.0014727861
113,2.92857,0.15,0.1,8.77572,158.429,4.46867,163.105,20.7557,0.1448528,0.14455317,0.14462703,0.14864723,-0.00029963255,-0.00022576749,0.0037944317
114,2.92857,0.15,0.228571,8.73347,554.135,3.65987,560.186,16.2766,0.1391678,0.1430001,0.13905074,0.14554726,0.0038322955,-0.00011706352,0.0063794553
115,2.92857,0.15,0.357143,8.65816,602.472,3.62653,608.629,12.2778,0.13083398,0.14226066,0.13439512,0.14266667,0.011426672,0.0035611391,0.011832684
116,2.92857,0.15,0.485714,8.5498,540.26,3.64339,547.751,5.82272,0.14122519,0.14001434,0.13568722,0.14060009,-0.0012108535,-0.0055379719,-0.00062510371
117,2.92857,0.15,0.614286,8.40837,543.11,3.62637,542.656,4.03146,0.13331141,0.13814428,0.13648985,0.13894574,0.0048328787,0.0031784475,0.0056343377
118,2.92857,0.15,0.742857,8.23388,542.741,3.65773,550.964,4.13696,0.13216153,0.13652664,0.13527837,0.13608421,0.0043651164,0.0031168461,0.003922686
119,2.92857,0.15,0.871429,8.02633,545.276,3.66365,548.69,4.22989,0.13299957,0.13417202,0.13452284,0.13299145,0.0011724532,0.0015232712,-8.1211329e-06
120,2.92857,0.15,1,7.78572,541.529,3.75603,549.904,12.3852,0.13259329,0.13158305,0.13247097,0.13075142,-0.0010102391,-0.00012232363,-0.0018418729
121,2.92857,0.22,0.1,12.8757,157.808,4.52608,161.71,20.187,0.1673703,0.167454,0.16772328,0.18873678,8.3699822e-05,0.00035297871,0.021366477
122,2.92857,0.22,0.228571,12.8335,320.55,3.85267,324.647,17.0109,0.16563411,0.16718912,0.16720831,0.17686126,0.0015550107,0.0015742034,0.011227146
123,2.92857,0.22,0.357143,12.7582,663.836,3.62739,667.544,14.3176,0.14893402,0.16572095,0.15217768,0.17146502,0.016786933,0.003243655,0.022531003
124,2.92857,0.22,0.485714,12.6498,554.141,3.62627,561.74,8.82118,0.16417673,0.16375412,0.15996842,0.16588782,-0.00042261183,-0.0042083114,0.0017110854
125,2.92857,0.22,0.614286,12.5084,538.728,3.63853,542.263,4.40086,0.15457235,0.16210935,0.15876304,0.16344546,0.0075369924,0.0041906834,0.008873105
126,2.92857,0.22,0.742857,12.3339,538.039,3.6232,542.138,4.13107,0.15618265,0.15994012,0.15447144,0.16154245,0.0037574768,-0.0017112046,0.0053597987
127,2.92857,0.22,0.871429,12.1263,544.004,3.66221,548.228,4.18048,0.15992446,0.15866736,0.15628308,0.15998441,-0.0012571067,-0.0036413819,5.9947371e-05
128,2.92857,0.22,1,11.8857,542.246,3.66266,550.251,4.23731,0.15708779,0.1555586,0.15586296,0.15578969,-0.001529187,-0.0012248307,-0.0012980998
129,2.92857,0.29,0.1,16.9757,158.182,4.42019,161.211,20.5865,0.18910062,0.18763328,0.19073735,0.21958548,-0.0014673471,0.0016367286,0.030484855
130,2.92857,0.29,0.228571,16.9335,268.873,3.99738,274.038,17.1564,0.18649863,0.18646044,0.18679026,0.19410196,-3.8191676e-05,0.00029163063,0.0076033324
131,2.92857,0.29,0.357143,16.8582,645.868,3.63946,659.319,14.9258,0.16990557,0.18592969,0.17271507,0.19215402,0.016024113,0.0028094947,0.022248447
132,2.92857,0.29,0.485714,16.7498,592.573,3.62496,597.467,10.9957,0.17774487,0.18379325,0.17186978,0.18734814,0.0060483813,-0.0058750808,0.0096032768
133,2.92857,0.29,0.614286,16.6084,545.324,3.62291,545.423,6.57501,0.16908327,0.1814726,0.17650457,0.18708232,0.012389332,0.0074212998,0.017999053
134,2.92857,0.29,0.742857,16.4339,537.69,3.63011,545.49,3.61424,0.17301965,0.18065915,0.17682703,0.18215415,0.0076394975,0.0038073808,0.0091345012
135,2.92857,0.29,0.871429,16.2263,539.787,3.63286,546.974,4.13696,0.17458478,0.17827454,0.17713827,0.18006834,0.0036897659,0.0025534928,0.0054835677
136,2.92857,0.29,1,15.9857,546.173,3.65866,549.753,4.20454,0.17720105,0.17583801,0.17334551,0.17851444,-0.001363039,-0.0038555413,0.0013133883
137,2.92857,0.36,0.1,21.0757,162.3,4.57347,162.01,20.4595,0.2063133,0.20557116,0.20715211,0.25950214,-0.00074213743,0.00083881617,0.053188846
138,2.92857,0.36,0.228571,21.0335,258.601,4.05488,260.438,17.915,0.20375969,0.20493354,0.20518072,0.22191973,0.0011738539,0.0014210343,0.018160045
139,2.92857,0.36,0.357143,20.9582,598.01,3.63069,601.557,15.2986,0.19731216,0.20347798,0.19462368,0.21034481,0.0061658174,-0.0026884824,0.013032645
140,2.92857,0.36,0.485714,20.8498,635.366,3.64182,637.781,12.2726,0.18365869,0.20176899,0.18892689,0.20847504,0.018110305,0.0052682012,0.024816349
141,2.92857,0.36,0.614286,20.7084,554.25,3.62371,559.532,8.33731,0.19779448,0.20127355,0.19237557,0.20538007,0.0034790635,-0.0054189116,0.0075855851
142,2.92857,0.36,0.742857,20.5339,538.813,3.62701,544.074,4.84957,0.19981763,0.19831114,0.19418441,0.2037642,-0.0015064925,-0.0056332201,0.0039465725
143,2.92857,0.36,0.871429,20.3263,539.073,3.62906,544.671,4.11027,0.19865613,0.19741444,0.19076718,0.199876,-0.001241684,-0.007888943,0.0012198687
144,2.92857,0.36,1,20.0857,543.215,3.64141,551.254,4.2025,0.19649148,0.19394131,0.19593322,0.19741169,-0.0025501698,-0.0005582571,0.00092020631
145,2.92857,0.43,0.1,25.1757,158.824,4.52842,163.059,20.2363,0.22501509,0.22141193,0.22341534,0.28673998,-0.0036031604,-0.001599744,0.061724886
146,2.92857,0.43,0.228571,25.1335,253.247,4.05299,256.994,18.1568,0.22240256,0.22415985,0.22210905,0.24446285,0.0017572939,-0.00029350817,0.02206029
147,2.92857,0.43,0.357143,25.0582,510.817,3.66611,512.961,15.5505,0.21772224,0.21954577,0.21412899,0.23564382,0.0018235296,-0.0035932511,0.017921582
148,2.92857,0.43,0.485714,24.9498,652.02,3.63891,660.337,13.6008,0.21030232,0.21914563,0.20599797,0.23048156,0.0088433027,-0.0043043494,0.020179242
149,2.92857,0.43,0.614286,24.8084,575.767,3.64301,582.018,9.79254,0.19986086,0.2167244,0.20704339,0.22531874,0.01686354,0.0071825385,0.025457889
150,2.92857,0.43,0.742857,24.6339,543.628,3.63331,547.83,6.23821,0.2104259,0.21596318,0.21180974,0.22011948,0.0055372864,0.001383841,0.0096935779
151,2.92857,0.43,0.871429,24.4263,541.518,3.62723,547.252,3.81616,0.20673461,0.21280952,0.20976256,0.21835516,0.0060749054,0.0030279458,0.011620551
152,2.92857,0.43,1,24.1857,543.131,3.66176,545.832,4.12579,0.2171472,0.21019922,0.20891555,0.21489906,-0.0069479793,-0.0082316548,-0.0022481382
153,2.92857,0.5,0.1,29.2757,162.296,4.53018,165.56,20.2223,0.2372732,0.23685385,0.24240012,0.31839746,-0.00041934848,0.0051269233,0.081124261
154,2.92857,0.5,0.228571,29.2335,251.732,4.0857,258.48,18.5038,0.23625219,0.23734678,0.23907356,0.27290267,0.0010945946,0.002821371,0.036650479
155,2.92857,0.5,0.357143,29.1582,413.391,3.6911,419.906,15.8034,0.23344183,0.23690085,0.23308313,0.25838509,0.0034590214,-0.00035870075,0.024943262
156,2.92857,0.5,0.485714,29.0498,653.197,3.6391,658.571,14.0744,0.20982619,0.2333717,0.21777625,0.24576901,0.023545519,0.0079500675,0.035942823
157,2.92857,0.5,0.614286,28.9084,602.849,3.63472,614.081,10.971,0.20856147,0.2319365,0.22537638,0.24395257,0.023375034,0.016814917,0.035391107
158,2.92857,0.5,0.742857,28.7339,552.236,3.63402,554.831,7.62438,0.21974389,0.23023269,0.22286959,0.23704627,0.010488793,0.0031256974,0.017302379
159,2.92857,0.5,0.871429,28.5263,544.948,3.65661,548.28,4.79235,0.23390913,0.2282187,0.22085942,0.23301505,-0.0056904256,-0.013049707,-0.00089408457
160,2.92857,0.5,1,28.2857,542.198,3.64992,549.163,4.10976,0.21750516,0.22499056,0.22684763,0.23261215,0.0074854046,0.0093424767,0.015106991
161,4.34286,0.01,0.1,0.858571,493.21,3.68176,498.165,15.8076,0.068402305,0.069225177,0.066952236,0.046874069,0.00082287192,-0.0014500692,-0.021528237
162,4.34286,0.01,0.228571,0.816326,561.654,3.66182,570.428,5.6937,0.0649736,0.06816075,0.066922687,0.057358947,0.0031871498,0.0019490868,-0.0076146536
163,4.34286,0.01,0.357143,0.74102,548.13,3.76794,556.874,10.1499,0.06445384,0.066624179,0.066061862,0.059409931,0.0021703392,0.0016080216,-0.005043909
164,4.34286,0.01,0.485714,0.632653,547.658,4.11894,553.881,11.8652,0.064361691,0.065510586,0.064374797,0.060278993,0.0011488944,1.3105571e-05,-0.0040826984
